City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kenai,60.5544,-151.2583,279.2,87,100,3.09,US,1714541374
1,margaret river,-33.95,115.0667,295.42,57,100,6.99,AU,1714541106
2,kingston,17.997,-76.7936,301.68,61,75,4.12,JM,1714541313
3,albany,42.6001,-73.9662,287.74,82,100,1.77,US,1714541254
4,sanming,26.2486,117.6186,291.63,91,100,1.2,CN,1714541377
5,tahe,52.3333,124.7333,294.2,20,100,5.79,CN,1714541377
6,kapuskasing,49.4169,-82.4331,280.2,100,100,1.03,CA,1714541378
7,lebu,-37.6167,-73.65,279.92,85,45,2.34,CL,1714541210
8,iqaluit,63.7506,-68.5145,265.0,85,20,1.03,CA,1714541126
9,grytviken,-54.2811,-36.5092,272.1,75,39,3.57,GS,1714541109
10,ghadamis,30.1337,9.5007,292.24,39,100,5.61,LY,1714541379
11,coahuayana de hidalgo,18.7,-103.6583,294.89,81,100,1.55,MX,1714541326
12,el bauga,18.262,33.9081,300.87,12,0,7.55,SD,1714541380
13,adamstown,-25.066,-130.1015,296.3,78,99,6.12,PN,1714541103
14,chonchi,-42.6128,-73.8092,278.77,96,100,1.13,CL,1714541182
15,talnakh,69.4865,88.3972,259.38,91,100,2.06,RU,1714541233
16,belyayevka,51.3974,56.4096,286.02,61,100,8.58,RU,1714541382
17,dudinka,69.4058,86.1778,259.64,92,100,3.13,RU,1714541204
18,mahina,-17.5065,-149.489,301.02,74,20,4.12,PF,1714541197
19,blackmans bay,-43.0167,147.3167,288.56,61,0,1.34,AU,1714541145
20,uturoa,-16.7333,-151.4333,300.59,78,61,10.84,PF,1714541384
21,auki,-8.7676,160.7034,302.59,77,99,0.52,SB,1714541384
22,labytnangi,66.6572,66.4183,264.47,93,99,1.83,RU,1714541184
23,port-aux-francais,-49.35,70.2167,279.51,95,100,22.12,TF,1714541097
24,puerto ayora,-0.7393,-90.3518,297.07,90,94,2.0,EC,1714541135
25,puerto san jose,13.9256,-90.8244,302.5,72,99,1.18,GT,1714541386
26,mozhaysk,55.5019,36.0272,284.8,76,100,3.17,RU,1714541386
27,hermanus,-34.4187,19.2345,287.97,81,12,3.08,ZA,1714541387
28,lihue,21.9789,-159.3672,298.73,81,75,4.63,US,1714541225
29,pacific grove,36.6177,-121.9166,285.7,81,75,8.05,US,1714541252
30,port mathurin,-19.6833,63.4167,298.98,65,100,7.31,MU,1714541388
31,whitehorse,60.7161,-135.0538,282.58,43,40,2.06,CA,1714541389
32,namibe,-15.1961,12.1522,298.34,58,24,1.24,AO,1714541229
33,barranca,-10.75,-77.7667,292.74,87,60,3.01,PE,1714541390
34,georgetown,5.4112,100.3354,308.12,55,20,3.09,MY,1714541390
35,vadso,70.0744,29.7487,275.64,86,75,5.14,NO,1714541271
36,puerto baquerizo moreno,-0.9,-89.6,297.19,86,98,2.32,EC,1714541188
37,at-bashi,41.1702,75.8106,278.37,90,100,0.69,KG,1714541392
38,tura,25.5198,90.2201,310.57,24,6,3.13,IN,1714541153
39,pathankot,32.2833,75.65,300.02,26,28,1.97,IN,1714541392
40,hotan,37.0997,79.9269,289.23,26,100,3.32,CN,1714541393
41,igarka,67.4667,86.5833,262.39,86,100,4.29,RU,1714541218
42,utrik,11.2278,169.8474,300.5,79,72,8.71,MH,1714541394
43,waitangi,-43.9535,-176.5597,286.94,96,100,0.89,NZ,1714541104
44,malvan,16.0667,73.4667,303.94,66,57,3.9,IN,1714541395
45,isafjordur,66.0755,-23.124,274.17,79,100,1.74,IS,1714541396
46,petropavlovsk-kamchatsky,53.0452,158.6483,278.48,54,75,7.0,RU,1714541119
47,fomboni,-12.28,43.7425,301.49,76,74,7.07,KM,1714541396
48,as sanad,34.4628,9.264,285.29,53,0,2.64,TN,1714541178
49,punta del este,-34.9667,-54.95,290.3,92,100,3.6,UY,1714541397
50,vorkuta,67.5,64.0,263.21,94,97,2.24,RU,1714541125
51,jamestown,42.097,-79.2353,285.92,87,0,1.54,US,1714541283
52,la ronge,55.1001,-105.2842,279.29,39,20,4.12,CA,1714541399
53,sisimiut,66.9395,-53.6735,265.8,77,14,3.89,GL,1714541399
54,tazovsky,67.4667,78.7,259.17,88,83,3.96,RU,1714541280
55,geraldton,-28.7667,114.6,304.38,30,75,6.17,AU,1714541113
56,portland,45.5234,-122.6762,281.11,91,20,1.54,US,1714541131
57,howard springs,-12.497,131.047,306.47,63,18,4.71,AU,1714541132
58,west island,-12.1568,96.8225,301.14,89,100,10.8,CC,1714541401
59,ancud,-41.8697,-73.8203,280.85,87,100,0.59,CL,1714541217
60,punta arenas,-53.15,-70.9167,272.21,86,0,3.6,CL,1714541130
61,hasaki,35.7333,140.8333,287.37,87,100,11.35,JP,1714541403
62,weno,7.4515,151.8468,304.12,84,75,3.09,FM,1714541217
63,sitka,57.0531,-135.33,282.09,71,20,4.12,US,1714541169
64,yellowknife,62.456,-114.3525,273.38,94,20,3.09,CA,1714541115
65,tucumcari,35.1717,-103.725,288.06,20,0,3.6,US,1714541405
66,edinburgh of the seven seas,-37.0676,-12.3116,285.62,62,98,13.59,SH,1714541405
67,nar'yan-mar,67.6713,53.087,267.1,97,88,3.13,RU,1714541406
68,minas de marcona,-15.2119,-75.1103,289.13,88,28,4.4,PE,1714541406
69,mil'kovo,55.6078,37.7956,287.37,56,80,5.14,RU,1714541407
70,bethel,41.3712,-73.414,285.62,88,100,0.0,US,1714541108
71,tiksi,71.6872,128.8694,264.57,86,98,2.82,RU,1714541201
72,polyarnyy,69.1989,33.4478,273.86,92,100,5.85,RU,1714541206
73,freetown,8.484,-13.2299,299.61,90,33,2.31,SL,1714541329
74,klyuchi,52.2667,79.1667,275.05,97,100,6.26,RU,1714541290
75,aasiaat,68.7098,-52.8699,259.83,91,58,1.47,GL,1714541184
76,puerto santa,-8.9906,-78.6456,292.68,89,57,3.31,PE,1714541410
77,yantai,37.5333,121.4,290.77,43,33,3.91,CN,1714541411
78,port blair,11.6667,92.75,308.17,49,20,4.12,IN,1714541229
79,tomatlan,19.9333,-105.25,293.97,75,94,0.23,MX,1714541412
80,ushuaia,-54.8,-68.3,275.96,81,75,6.69,AR,1714541168
81,ebon,4.582,168.6964,301.23,84,99,9.37,MH,1714541413
82,olonkinbyen,70.9221,-8.7187,272.87,82,100,3.99,SJ,1714541139
83,college,64.8569,-147.8028,282.33,53,75,2.57,US,1714541114
84,toliara,-23.35,43.6667,299.44,59,20,1.66,MG,1714541414
85,tolanaro,-25.0319,46.9987,297.19,43,20,0.0,MG,1714541225
86,kerikeri,-35.2268,173.9474,291.99,64,90,3.3,NZ,1714541415
87,christchurch,-43.5333,172.6333,284.21,85,100,7.72,NZ,1714540994
88,saint johnsbury,44.4192,-72.0151,282.68,93,100,0.0,US,1714541416
89,coquimbo,-29.9533,-71.3436,288.0,82,100,1.54,CL,1714541412
90,constitucion,-35.3333,-72.4167,284.55,81,99,1.63,CL,1714541212
91,karymskoye,51.6167,114.35,283.77,15,8,9.07,RU,1714541417
92,wailua homesteads,22.0669,-159.378,298.39,81,75,4.63,US,1714541166
93,anadyr,64.75,177.4833,272.43,58,0,2.0,RU,1714541418
94,soran,49.78,72.8506,275.42,63,100,6.77,KZ,1714541418
95,maragogi,-9.0122,-35.2225,298.71,83,96,1.4,BR,1714541234
96,domna,51.8971,113.1573,282.24,20,13,14.0,RU,1714541419
97,belyy yar,53.6039,91.3903,280.09,36,0,1.0,RU,1714541279
98,guerrero negro,27.9769,-114.0611,289.0,80,2,4.4,MX,1714541208
99,invercargill,-46.4,168.35,282.05,64,16,2.68,NZ,1714541421
100,quellon,-43.1167,-73.6167,279.57,90,97,4.0,CL,1714541245
101,puerto natales,-51.7236,-72.4875,273.57,86,74,1.0,CL,1714541421
102,el calafate,-50.3408,-72.2768,271.45,81,20,1.88,AR,1714541422
103,qaqortoq,60.7167,-46.0333,274.67,96,100,0.99,GL,1714541275
104,gebeit,21.0667,36.3167,298.17,15,0,8.57,SD,1714541193
105,urzhar,47.093,81.6294,292.99,40,93,3.67,KZ,1714541424
106,cockburn town,21.4612,-71.1419,298.37,75,43,10.08,TC,1714541424
107,prieska,-29.6641,22.7474,293.51,36,9,1.26,ZA,1714541425
108,bel ombre,-4.6167,55.4167,304.06,70,20,4.12,SC,1714541425
109,meadow lakes,61.6247,-149.6011,282.33,70,100,0.0,US,1714541426
110,kruisfontein,-34.0033,24.7314,288.49,61,53,1.88,ZA,1714541426
111,pucon,-39.2822,-71.9543,277.84,90,86,0.85,CL,1714541427
112,kirensk,57.7853,108.1119,274.8,50,100,4.02,RU,1714541285
113,remire-montjoly,4.9167,-52.2667,299.17,94,75,0.0,GF,1714541226
114,haiku-pauwela,20.9219,-156.3051,297.62,77,20,6.69,US,1714541330
115,kodiak,57.79,-152.4072,277.88,81,100,4.12,US,1714541428
116,catio,11.2833,-15.25,298.96,77,82,2.37,GW,1714541429
